mode,rank,world,dev,numa_node,mib,bytes_aligned,BW_GBps
3,0,8,0,0,0.250000,262144,10.721
3,1,8,1,0,0.250000,262144,11.049
3,2,8,2,0,0.250000,262144,11.414
3,3,8,3,0,0.250000,262144,11.801
3,4,8,4,0,0.250000,262144,12.096
3,5,8,5,0,0.250000,262144,12.329
3,6,8,6,0,0.250000,262144,12.727
3,7,8,7,0,0.250000,262144,12.727
3,0,8,0,0,0.500000,524288,17.944
3,1,8,1,0,0.500000,524288,18.357
3,2,8,2,0,0.500000,524288,18.370
3,3,8,3,0,0.500000,524288,18.553
3,4,8,4,0,0.500000,524288,18.723
3,5,8,5,0,0.500000,524288,19.264
3,6,8,6,0,0.500000,524288,19.329
3,7,8,7,0,0.500000,524288,19.371
3,0,8,0,0,1.000000,1048576,23.444
3,1,8,1,0,1.000000,1048576,23.445
3,2,8,2,0,1.000000,1048576,23.443
3,3,8,3,0,1.000000,1048576,23.444
3,4,8,4,0,1.000000,1048576,23.447
3,5,8,5,0,1.000000,1048576,23.444
3,6,8,6,0,1.000000,1048576,23.446
3,7,8,7,0,1.000000,1048576,23.443
3,0,8,0,0,2.000000,2097152,31.332
3,1,8,1,0,2.000000,2097152,31.340
3,2,8,2,0,2.000000,2097152,31.336
3,3,8,3,0,2.000000,2097152,31.331
3,4,8,4,0,2.000000,2097152,31.332
3,5,8,5,0,2.000000,2097152,31.334
3,6,8,6,0,2.000000,2097152,31.334
3,7,8,7,0,2.000000,2097152,31.337
3,0,8,0,0,4.000000,4194304,37.849
3,1,8,1,0,4.000000,4194304,37.851
3,2,8,2,0,4.000000,4194304,37.847
3,3,8,3,0,4.000000,4194304,37.850
3,4,8,4,0,4.000000,4194304,37.850
3,5,8,5,0,4.000000,4194304,37.862
3,6,8,6,0,4.000000,4194304,37.849
3,7,8,7,0,4.000000,4194304,37.848
3,0,8,0,0,8.000000,8388608,42.519
3,1,8,1,0,8.000000,8388608,42.519
3,2,8,2,0,8.000000,8388608,42.515
3,3,8,3,0,8.000000,8388608,42.512
3,4,8,4,0,8.000000,8388608,42.515
3,5,8,5,0,8.000000,8388608,42.510
3,6,8,6,0,8.000000,8388608,42.512
3,7,8,7,0,8.000000,8388608,42.514
3,0,8,0,0,16.000000,16777216,45.205
3,1,8,1,0,16.000000,16777216,45.206
3,2,8,2,0,16.000000,16777216,45.204
3,3,8,3,0,16.000000,16777216,45.205
3,4,8,4,0,16.000000,16777216,45.204
3,5,8,5,0,16.000000,16777216,45.205
3,6,8,6,0,16.000000,16777216,45.206
3,7,8,7,0,16.000000,16777216,45.207
3,0,8,0,0,32.000000,33554432,46.574
3,1,8,1,0,32.000000,33554432,46.574
3,2,8,2,0,32.000000,33554432,46.575
3,3,8,3,0,32.000000,33554432,46.584
3,4,8,4,0,32.000000,33554432,46.604
3,5,8,5,0,32.000000,33554432,46.614
3,6,8,6,0,32.000000,33554432,46.627
3,7,8,7,0,32.000000,33554432,46.627
3,0,8,0,0,64.000000,67108864,47.320
3,1,8,1,0,64.000000,67108864,47.321
3,2,8,2,0,64.000000,67108864,47.319
3,3,8,3,0,64.000000,67108864,47.320
3,4,8,4,0,64.000000,67108864,47.320
3,5,8,5,0,64.000000,67108864,47.321
3,7,8,7,0,64.000000,67108864,47.322
3,6,8,6,0,64.000000,67108864,47.322
3,0,8,0,0,128.000000,134217728,47.813
3,1,8,1,0,128.000000,134217728,47.814
3,2,8,2,0,128.000000,134217728,47.814
3,3,8,3,0,128.000000,134217728,47.814
3,4,8,4,0,128.000000,134217728,47.814
3,5,8,5,0,128.000000,134217728,47.813
3,6,8,6,0,128.000000,134217728,47.813
3,7,8,7,0,128.000000,134217728,47.813
3,0,8,0,0,256.000000,268435456,48.051
3,1,8,1,0,256.000000,268435456,48.051
3,2,8,2,0,256.000000,268435456,48.051
3,3,8,3,0,256.000000,268435456,48.051
3,4,8,4,0,256.000000,268435456,48.051
3,5,8,5,0,256.000000,268435456,48.051
3,7,8,7,0,256.000000,268435456,48.051
3,6,8,6,0,256.000000,268435456,48.051
3,0,8,0,0,512.000000,536870912,48.167
3,1,8,1,0,512.000000,536870912,48.168
3,2,8,2,0,512.000000,536870912,48.167
3,3,8,3,0,512.000000,536870912,48.167
3,4,8,4,0,512.000000,536870912,48.167
3,5,8,5,0,512.000000,536870912,48.167
3,7,8,7,0,512.000000,536870912,48.167
3,6,8,6,0,512.000000,536870912,48.168
